Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",C_0402,3,10µF,
"D1, D2",0402,2,LED,
D3,Nexperia_CFP3_SOD-123W,1,PMEG4020ER,
J1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02_Pin,
Q1,SOT-23,1,BSS84,
R1,R_0402,1,5.1kΩ,
R2,R_0402,1,2kΩ,
"R3, R4",R_0402,2,1kΩ,
R5,R_0402,1,100kΩ,
"R6, R7",R_0402,2,4.7kΩ,
SW1,SW_SPDT_PCM12,1,SW_SPDT,
U1,TDFN-8_L3.0-W2.0-P0.50-BL-EP1.6,1,MCP73831-2ACI/MC,C150772
U2,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,1,AP2112K-3.3TRG1_C23380830,C23380830
U4,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-45686,C22459454
U5,WLCSP-12_L1.6-W1.6_BMM150,1,BMM150,C171681
U6,MODULE_ESP32-C3_SUPERMINI_TH,1,ESP32-C3_SUPERMINI_TH,
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
`
