Designator,Mid X,Mid Y,Rotation,Layer
C1,155.25,-109.5,90.0,top
C2,160.47,-99.25,0.0,top
C3,157.75,-113.5,0.0,top
D1,156.97,-99.0,180.0,top
D2,158.985,-103.0,0.0,top
D3,159.75,-105.75,90.0,top
J1,159.76758921881344,-94.73241221881345,315.0,top
Q1,156.25,-106.0,180.0,top
R1,160.47,-109.0,90.0,top
R2,156.97,-103.0,180.0,top
R3,155.22,-102.0,90.0,top
R4,155.22,-99.5,270.0,top
R5,156.5,-109.5,270.0,top
R6,143.75,-99.25,90.0,top
R7,145.1,-99.25,90.0,top
SW1,161.25,-116.25,45.0,top
U1,158.47,-101.0,90.0,top
U2,158.75,-111.5,0.0,top
U4,144.572,-103.25,0.0,top
U5,144.28,-94.0,0.0,top
U6,144.39,-105.0,270.0,bottom
USBC1,164.47,-105.0,90.0,top
